id,nombre,categoria,objetivo,copias,texto,frase
E01,Neumonía Asociada a Ventilación Mecánica,RESP,MAS_TRATADO,1,"Pierde 2 ❤️.","Lleva ocho días intubado. Ya era esperable. No por eso duele menos."
E02,Extubación Accidental,RESP,MEJOR,1,"Descarta todos sus recursos 📈.","Se sacó el tubo. Con las manos amarradas. Nadie sabe cómo."
E03,Descarga Séptica,INFEC,MEJOR,1,"Requiere 2 💊 adicionales para estabilizarse.","Estaba mejorando. Esa era la trampa."
E04,Delirium en UCI,NEURO,ELIGES,1,"Descarta 1 recurso 🧑‍⚕️ suyo.","Se sacó la sonda, la vía y el ánimo del turno."
E05,Lesión por Presión,GENERAL,MAS_GRAVE,1,"Requiere 1 🧑‍⚕️ adicional.","Hay que cambiarlo de posición cada dos horas. Apareció igual."
E06,Corte de Suministro,GENERAL,TODOS,1,"Cada uno pierde 1 ❤️.","El generador partió a los cuarenta segundos. Fueron cuarenta segundos largos."
E07,Muestra Perdida en Tránsito,GENERAL,ELIGES,1,"Descarta 1 recurso 🩻 o 📈 suyo, a tu elección.","Se tomó. Se rotuló. Se envió. No llegó."
E08,Reacción Adversa a Fármaco,GENERAL,ELIGES,1,"Descarta todos sus recursos 💊.","Alergia no consignada. Estaba en la ficha antigua. En papel."
E09,Paro Cardiorrespiratorio,CARD,MAS_GRAVE,1,"Queda con 1 ❤️.","Tres minutos que van a durar todo el año."
E10,Brote de Multirresistente,INFEC,TODOS,1,"Cada uno requiere 1 💊 adicional.","Aislamiento de contacto en toda la unidad. Otra vez."
E11,Reingreso Precoz,GENERAL,ESTABLE,1,"Pierde la ficha ✅ y vuelve a deteriorarse.","Volvió en catorce horas. Con la misma ropa."
E12,Colapso de Urgencias,GENERAL,TODOS,1,"No puedes admitir pacientes nuevos en tu próximo turno. Las camas siguen vacías.","Hay veintidós esperando. Y tú no tienes dónde ponerlos."
E13,Error de Medicación,GENERAL,MAS_GRAVE,1,"Descarta 1 recurso 💊 suyo. Pierde 1 ❤️.","¿Era Dopamina o Dobutamina? Con el pitido del monitor suenan igual."
E14,Caída de Cama,GENERAL,MEJOR,1,"Pierde 2 ❤️ y requiere 1 🩻 adicional.","Se paró solo al baño porque ya se sentía bien. Las barandas estaban arriba: eso dirá el informe."
E15,Tromboembolismo Pulmonar,RESP,MAS_TRATADO,1,"Pierde 2 ❤️ y requiere 1 📈 adicional.","La profilaxis estaba indicada. Indicada."
E16,Cambio de Turno Caótico,GENERAL,TODOS,1,"Descarta 1 recurso al azar de cada uno.","La entrega duró cuatro minutos. Se dijeron dos cosas."
E17,Neumotórax a Tensión,RESP,MAS_TRATADO,1,"Pierde 3 ❤️. Si tiene un 🩻 encima, pierde solo 1.","Se puncionó a ciegas. Salió aire. Salió mucho aire."
E18,Bradicardia Extrema,CARD,MAS_GRAVE,1,"Pierde 2 ❤️ y requiere 1 📈 adicional.","Treinta y ocho por minuto. Todos mirando el monitor sin respirar."
E19,Taquicardia Ventricular,CARD,MAS_GRAVE,1,"Pierde 2 ❤️. Descarta 1 recurso 💊 suyo.","El monitor hace el dibujo que nadie quiere ver."
E20,Hemorragia Masiva,GENERAL,MAS_GRAVE,1,"Pierde 2 ❤️ y requiere 1 💊 y 1 🧑‍⚕️ adicionales.","Se pidió sangre. Viene en camino. Todo viene en camino."
E21,Falla Renal Aguda,METAB,MAS_GRAVE,1,"Requiere 2 📈 adicionales.","La creatinina se duplicó. Nadie sabe desde cuándo."
E22,Sobrecarga de Volumen,CARD,MAS_TRATADO,1,"Pierde 1 ❤️ y requiere 1 💊 adicional.","Balance positivo de cuatro litros. Cuatro."
E23,Sobresedación,NEURO,MEJOR,1,"No puede recibir recursos durante tu próximo turno.","Lleva dos días sin despertar. La bomba sigue andando."
E24,Resistencia Antibiótica,INFEC,MAS_TRATADO,1,"Descarta todos sus recursos 💊 y requiere 1 💊 adicional.","El cultivo llegó. Resistente a todo lo que le dimos."
E25,VILI,RESP,MAS_TRATADO,1,"Si tiene al menos 1 📈, pierde 2 ❤️. Si no tiene 📈, no pasa nada.","El ventilador lo mantiene vivo y lo va rompiendo. Las dos cosas."
E26,Bacteriemia,INFEC,MAS_TRATADO,1,"Pierde 1 ❤️ y requiere 1 💊 y 1 📈 adicionales.","Dos hemocultivos positivos. El catéter lleva doce días."
E27,Compromiso de Conciencia,NEURO,ELIGES,1,"Requiere 1 🩻 y 1 🧑‍⚕️ adicionales.","Glasgow 8. Se intuba en Glasgow 8. Ya sabes lo que viene."
E28,Debilidad Adquirida en UCI,NEURO,ESTABLE,1,"Requiere 2 🧑‍⚕️ adicionales.","Sobrevivió. Ahora no puede levantar el brazo. Eso también cuenta."
